Published,Sentiment Score,Close,High,Low,Open,Volume,score_sq,score_cu,score_dev,inverted_score,skewed_score,inverted_skewed_score
2024-06-12,0.45,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400,0.2025,0.09112500000000001,0.04999999999999999,0.55,0.2025,0.30250000000000005
2024-06-13,0.3333333333333333,182.47000122070312,191.0800018310547,181.22999572753903,188.38999938964844,118984100,0.1111111111111111,0.03703703703703703,0.16666666666666669,0.6666666666666667,0.1111111111111111,0.44444444444444453
2024-06-16,0.2,187.44000244140625,188.80999755859375,177.0,177.9199981689453,109786100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-06-17,0.2,187.44000244140625,188.80999755859375,177.0,177.9199981689453,109786100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-06-18,0.5,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300,0.25,0.125,0.0,0.5,0.25,0.25
2024-06-19,0.7,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-06-23,0.55,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100,0.30250000000000005,0.16637500000000005,0.050000000000000044,0.44999999999999996,0.30250000000000005,0.20249999999999996
2024-06-24,0.55,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100,0.30250000000000005,0.16637500000000005,0.050000000000000044,0.44999999999999996,0.30250000000000005,0.20249999999999996
2024-06-25,0.75,187.3500061035156,187.97000122070312,182.0099945068359,184.3999938964844,63678300,0.5625,0.421875,0.25,0.25,0.5625,0.0625
2024-06-27,0.2,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-07-01,0.5,209.86000061035156,213.22999572753903,200.8500061035156,201.02000427246097,135691400,0.25,0.125,0.0,0.5,0.25,0.25
2024-07-03,0.4,246.38999938964844,248.3500061035156,234.25,234.55999755859375,166561500,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-07-09,0.43125,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900,0.18597656250000003,0.08020239257812502,0.06874999999999998,0.56875,0.18597656250000003,0.32347656249999995
2024-07-10,0.75,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400,0.5625,0.421875,0.25,0.25,0.5625,0.0625
2024-07-14,0.2,252.63999938964844,265.6000061035156,251.72999572753903,255.97000122070312,146912900,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-07-15,0.2,252.63999938964844,265.6000061035156,251.72999572753903,255.97000122070312,146912900,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-07-17,0.1,248.5,258.4700012207031,246.17999267578125,252.72999572753903,115584800,0.010000000000000002,0.0010000000000000002,0.4,0.9,0.010000000000000002,0.81
2024-07-18,0.2,249.22999572753903,257.1400146484375,247.1999969482422,251.08999633789065,110869000,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-07-21,0.4,251.5099945068359,253.2100067138672,243.75,244.2100067138672,101225400,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-07-23,0.45,246.3800048828125,255.7599945068359,245.6300048828125,253.6000061035156,111928200,0.2025,0.09112500000000001,0.04999999999999999,0.55,0.2025,0.30250000000000005
2024-07-24,0.1538461538461538,215.9900054931641,225.9900054931641,214.7100067138672,225.4199981689453,167942900,0.023668639053254423,0.003641329085116064,0.3461538461538462,0.8461538461538463,0.023668639053254423,0.715976331360947
2024-07-25,0.1666666666666666,220.25,226.0,216.22999572753903,216.8000030517578,100636500,0.027777777777777755,0.004629629629629624,0.33333333333333337,0.8333333333333334,0.027777777777777755,0.6944444444444445
2024-07-26,0.8,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-07-30,0.1416666666666667,222.6199951171875,232.41000366210935,220.0,232.25,100560300,0.020069444444444452,0.0028431712962962976,0.3583333333333333,0.8583333333333333,0.020069444444444452,0.736736111111111
2024-07-31,0.31,232.07000732421875,234.67999267578125,226.7899932861328,227.8999938964844,67497000,0.0961,0.029790999999999998,0.19,0.69,0.0961,0.4760999999999999
2024-08-02,0.0666666666666666,207.6699981689453,216.1300048828125,205.77999877929688,214.8800048828125,82880100,0.004444444444444435,0.00029629629629629537,0.4333333333333334,0.9333333333333333,0.004444444444444435,0.8711111111111112
2024-08-05,0.05,198.8800048828125,203.8800048828125,182.0,185.22000122070312,100308800,0.0025000000000000005,0.00012500000000000003,0.45,0.95,0.0025000000000000005,0.9025
2024-08-06,0.15,200.63999938964844,202.8999938964844,192.6699981689453,200.75,73783900,0.0225,0.0033749999999999995,0.35,0.85,0.0225,0.7224999999999999
2024-08-07,0.5666666666666667,191.7599945068359,203.4900054931641,191.47999572753903,200.77000427246097,71159800,0.32111111111111107,0.18196296296296294,0.06666666666666665,0.43333333333333335,0.32111111111111107,0.1877777777777778
2024-08-09,0.42,200.0,200.8800048828125,195.11000061035156,197.0500030517578,58648300,0.17639999999999997,0.07408799999999999,0.08000000000000002,0.5800000000000001,0.17639999999999997,0.3364000000000001
2024-08-10,0.1,200.0,200.8800048828125,195.11000061035156,197.0500030517578,58648300,0.010000000000000002,0.0010000000000000002,0.4,0.9,0.010000000000000002,0.81
2024-08-14,0.5833333333333334,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000,0.34027777777777785,0.1984953703703704,0.08333333333333337,0.41666666666666663,0.34027777777777785,0.17361111111111108
2024-08-15,0.4,214.13999938964844,215.8800048828125,204.82000732421875,205.02000427246097,89848500,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-08-19,0.6,222.72000122070312,222.97999572753903,214.08999633789065,217.07000732421875,76435200,0.36,0.21599999999999997,0.09999999999999998,0.4,0.36,0.16000000000000003
2024-08-20,0.4,221.1000061035156,228.22000122070312,219.55999755859375,224.8800048828125,74001200,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-08-21,0.6833333333333332,223.27000427246097,224.66000366210935,218.86000061035156,222.6699981689453,70146000,0.46694444444444433,0.31907870370370356,0.18333333333333324,0.31666666666666676,0.46694444444444433,0.10027777777777784
2024-08-22,0.8,210.66000366210935,224.8000030517578,210.32000732421875,223.82000732421875,79514500,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-08-23,0.15,220.32000732421875,221.47999572753903,214.2100067138672,214.4600067138672,81525200,0.0225,0.0033749999999999995,0.35,0.85,0.0225,0.7224999999999999
2024-08-24,0.7,220.32000732421875,221.47999572753903,214.2100067138672,214.4600067138672,81525200,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-08-27,0.2,209.2100067138672,215.66000366210935,206.94000244140625,213.25,62821400,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-08-28,0.55,205.75,211.83999633789065,202.58999633789065,209.72000122070312,64116400,0.30250000000000005,0.16637500000000005,0.050000000000000044,0.44999999999999996,0.30250000000000005,0.20249999999999996
2024-08-29,0.5,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800,0.25,0.125,0.0,0.5,0.25,0.25
2024-08-30,0.2,214.11000061035156,214.57000732421875,207.02999877929688,208.6300048828125,63370600,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-08-31,0.8,214.11000061035156,214.57000732421875,207.02999877929688,208.6300048828125,63370600,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-09-03,0.65,210.6000061035156,219.8999938964844,209.63999938964844,215.2599945068359,76714200,0.42250000000000004,0.274625,0.15000000000000002,0.35,0.42250000000000004,0.12249999999999998
2024-09-04,0.4499999999999999,219.41000366210935,222.22000122070312,210.57000732421875,210.58999633789065,80651800,0.2024999999999999,0.09112499999999994,0.0500000000000001,0.55,0.2024999999999999,0.30250000000000005
2024-09-05,0.3999999999999999,230.1699981689453,235.0,222.25,223.4900054931641,119355000,0.15999999999999992,0.06399999999999996,0.10000000000000009,0.6000000000000001,0.15999999999999992,0.3600000000000001
2024-09-06,0.325,210.72999572753903,233.6000061035156,210.5099945068359,232.6000061035156,112177000,0.10562500000000001,0.034328125,0.175,0.675,0.10562500000000001,0.45562500000000006
2024-09-07,0.8,210.72999572753903,233.6000061035156,210.5099945068359,232.6000061035156,112177000,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-09-11,0.475,228.1300048828125,228.47000122070312,216.8000030517578,224.5500030517578,83548600,0.225625,0.10717187499999999,0.025000000000000022,0.525,0.225625,0.275625
2024-09-12,0.4,229.80999755859375,231.4499969482422,223.8300018310547,224.66000366210935,72020000,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-09-13,0.675,230.2899932861328,232.6699981689453,226.32000732421875,228.0,59515100,0.45562500000000006,0.30754687500000005,0.17500000000000004,0.32499999999999996,0.45562500000000006,0.10562499999999997
2024-09-14,0.4,230.2899932861328,232.6699981689453,226.32000732421875,228.0,59515100,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-09-15,0.8,226.77999877929688,229.9600067138672,223.52999877929688,229.3000030517578,54323000,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-09-16,0.1,226.77999877929688,229.9600067138672,223.52999877929688,229.3000030517578,54323000,0.010000000000000002,0.0010000000000000002,0.4,0.9,0.010000000000000002,0.81
2024-09-17,0.75,227.8699951171875,234.57000732421875,226.5500030517578,229.4499969482422,66761600,0.5625,0.421875,0.25,0.25,0.5625,0.0625
2024-09-18,0.2,227.1999969482422,235.67999267578125,226.8800048828125,230.08999633789065,78010200,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-09-19,0.35,243.9199981689453,244.2400054931641,232.1300048828125,234.0,102694600,0.12249999999999998,0.04287499999999999,0.15000000000000002,0.65,0.12249999999999998,0.42250000000000004
2024-09-20,0.475,238.25,243.9900054931641,235.9199981689453,241.52000427246097,99879100,0.225625,0.10717187499999999,0.025000000000000022,0.525,0.225625,0.275625
2024-09-21,0.4,238.25,243.9900054931641,235.9199981689453,241.52000427246097,99879100,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-09-22,0.2,250.0,250.0,241.9199981689453,242.61000061035156,86927200,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-09-24,0.55,254.27000427246097,257.19000244140625,249.0500030517578,254.0800018310547,88491000,0.30250000000000005,0.16637500000000005,0.050000000000000044,0.44999999999999996,0.30250000000000005,0.20249999999999996
2024-09-27,0.2,260.4599914550781,260.70001220703125,254.1199951171875,257.3800048828125,70988100,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-09-28,0.5,260.4599914550781,260.70001220703125,254.1199951171875,257.3800048828125,70988100,0.25,0.125,0.0,0.5,0.25,0.25
2024-09-30,0.5666666666666667,261.6300048828125,264.8599853515625,255.77000427246097,259.0400085449219,80705700,0.32111111111111107,0.18196296296296294,0.06666666666666665,0.43333333333333335,0.32111111111111107,0.1877777777777778
2024-10-01,0.45,258.0199890136719,263.9800109863281,248.52999877929688,262.6700134277344,87397600,0.2025,0.09112500000000001,0.04999999999999999,0.55,0.2025,0.30250000000000005
2024-10-02,0.3,249.02000427246097,251.16000366210935,241.5,247.5500030517578,93983900,0.09,0.026999999999999996,0.2,0.7,0.09,0.48999999999999994
2024-10-03,0.5083333333333333,240.66000366210935,249.7899932861328,237.80999755859375,244.47999572753903,80729200,0.25840277777777776,0.13135474537037034,0.008333333333333304,0.4916666666666667,0.25840277777777776,0.24173611111111115
2024-10-05,0.2,250.0800018310547,250.9600067138672,244.5800018310547,246.69000244140625,86573200,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-10-07,0.4833333333333334,240.8300018310547,249.8300018310547,240.6999969482422,249.0,68113300,0.23361111111111116,0.11291203703703707,0.016666666666666607,0.5166666666666666,0.23361111111111116,0.2669444444444444
2024-10-08,0.575,244.5,246.2100067138672,240.55999755859375,243.55999755859375,56303200,0.33062499999999995,0.19010937499999997,0.07499999999999996,0.42500000000000004,0.33062499999999995,0.18062500000000004
2024-10-09,0.8333333333333334,241.0500030517578,247.42999267578125,239.5099945068359,243.82000732421875,66289500,0.6944444444444445,0.5787037037037038,0.33333333333333337,0.16666666666666663,0.6944444444444445,0.027777777777777766
2024-10-10,0.4916666666666667,238.77000427246097,242.7899932861328,232.33999633789065,241.80999755859375,83087100,0.24173611111111115,0.11885358796296298,0.008333333333333304,0.5083333333333333,0.24173611111111115,0.25840277777777776
2024-10-11,0.475,217.8000030517578,223.33999633789065,214.3800048828125,220.1300048828125,142628900,0.225625,0.10717187499999999,0.025000000000000022,0.525,0.225625,0.275625
2024-10-12,0.2,217.8000030517578,223.33999633789065,214.3800048828125,220.1300048828125,142628900,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
